"","essround","cntry","polintr","trstprl","trstplt","trstep","vote","contplt","wrkprty","wrkorg","badge","sgnptit","pbldmn","bctprd","clsprty","stfdem","gndr","eisced","uempla","uempli","dsbld","mainact","pdjobev","wrkctra","mbtru"
"24954",7,"IE","Not at all interested","4","2","9","Not eligible to vote","No","No","No","No","No","No","No","No","6","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, currently"
"24955",7,"IE","Not at all interested","4","No trust at all","8","No","No","No","No","No","No","No","No","No","6","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
"24956",7,"IE","Not at all interested","No trust at all","No trust at all","8","No","No","No","No","No","No","No","No","No","6","Male","ES-ISCED IV, advanced vocational, sub-degree","Marked","Not marked","Not marked","Not applicable","Yes","No contract","No"
"24957",7,"IE","Not at all interested","2","1","4","Not eligible to vote","No","No","No","No","No","No","No","No","2","Male","ES-ISCED IIIa, upper tier upper secondary","Marked","Not marked","Not marked","Not applicable","Yes","No contract","No"
"24971",7,"IE","Not at all interested","Don't know","5","Don't know","No","No","No","No","No","No","No","No","No","Don't know","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Yes","No contract","No"
"24979",7,"IE","Hardly interested","Don't know","No trust at all","6","Not eligible to vote","No","No","No","No","No","No","No","No","7","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
"24983",7,"IE","Not at all interested","3","1","No trust at all","Yes","No","No","No","No","No","No","No","Yes","Don't know","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"24984",7,"IE","Not at all interested","Don't know","8","Don't know","No","No","Yes","Yes","No","Yes","Yes","Yes","No","Extremely satisfied","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Marked","Not marked","Not applicable","Yes","Limited","No"
"24986",7,"IE","Not at all interested","4","3","2","No","No","No","No","No","No","No","No","No","5","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
"24991",7,"IE","Hardly interested","4","3","Don't know","No","Yes","No","No","No","No","No","No","Yes","5","Male","ES-ISCED IIIa, upper tier upper secondary","Marked","Not marked","Not marked","Not applicable","Yes","Limited","No"
"24992",7,"IE","Not at all interested","1","1","Don't know","No","Yes","No","No","No","No","No","No","No","Don't know","Female","ES-ISCED IIIa, upper tier upper secondary","Marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"24994",7,"IE","Hardly interested","7","2","Don't know","No","Yes","Yes","Yes","Yes","No","No","No","Yes","7","Female","ES-ISCED V1, lower tertiary education, BA level","Marked","Not marked","Not marked","Not applicable","Yes","No contract","No"
"25044",7,"IE","Not at all interested","4","4","5","Yes","No","No","No","No","No","No","No","No","7","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Yes","Limited","Yes, currently"
"25045",7,"IE","Not at all interested","2","No trust at all","3","No","No","No","No","No","No","No","No","No","5","Male","ES-ISCED II, lower secondary","Not marked","Marked","Not marked","Not applicable","No","Not applicable","No"
"25060",7,"IE","Not at all interested","2","1","2","No","No","No","No","Yes","Yes","Yes","No","No","Extremely dissatisfied","Female","ES-ISCED IIIa, upper tier upper secondary","Marked","Not marked","Not marked","Not applicable","Yes","No contract","No"
"25061",7,"IE","Hardly interested","5","4","5","Yes","Yes","No","No","No","Yes","No","No","Don't know","5","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Refusal","Not applicable","Refusal"
"25062",7,"IE","Not at all interested","3","5","5","Yes","No","No","No","No","Yes","No","No","Yes","2","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"25074",7,"IE","Not at all interested","2","No trust at all","2","No","No","No","No","No","No","No","No","No","5","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
"25099",7,"IE","Not at all interested","No trust at all","No trust at all","No trust at all","No","No","No","Yes","No","No","No","No","No","4","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"25101",7,"IE","Hardly interested","No trust at all","No trust at all","No trust at all","Yes","No","No","No","No","No","No","No","No","Extremely satisfied","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"25107",7,"IE","Hardly interested","Don't know","Don't know","Don't know","Not eligible to vote","Yes","No","No","No","No","No","No","No","Extremely satisfied","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
"25112",7,"IE","Hardly interested","No trust at all","No trust at all","2","Yes","Yes","No","No","No","Yes","No","No","No","Don't know","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"25113",7,"IE","Hardly interested","6","4","5","Yes","No","No","No","No","No","No","No","No","5","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"25126",7,"IE","Hardly interested","1","No trust at all","1","Yes","No","No","No","No","No","No","No","No","5","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Yes","Limited","No"
"25129",7,"IE","Not at all interested","No trust at all","No trust at all","No trust at all","Yes","No","No","No","No","Yes","No","Yes","No","3","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"25130",7,"IE","Quite interested","No trust at all","No trust at all","3","No","No","No","No","No","Yes","No","Yes","No","Extremely dissatisfied","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
"25133",7,"IE","Hardly interested","6","4","7","No","No","No","No","No","Yes","No","Yes","No","5","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"25139",7,"IE","Quite interested","5","4","5","Not eligible to vote","Yes","No","No","No","Yes","No","No","No","7","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Yes","No contract","No"
"25140",7,"IE","Hardly interested","5","4","5","Not eligible to vote","No","No","No","No","No","No","No","No","9","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Marked","Not applicable","Yes","Unlimited","No"
"25147",7,"IE","Hardly interested","4","2","2","Yes","No","No","No","No","No","No","No","Yes","2","Female","ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","Yes, previously"
"25168",7,"IE","Not at all interested","2","5","7","No","No","No","No","No","No","No","No","No","6","Female","ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"25177",7,"IE","Not at all interested","6","5","5","No","No","No","No","No","Yes","No","No","No","5","Female","ES-ISCED V1, lower tertiary education, BA level","Marked","Not marked","Not marked","Unemployed, looking for job","Yes","Limited","No"
"25185",7,"IE","Not at all interested","5","2","5","Yes","No","No","No","No","No","No","No","Yes","7","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"25192",7,"IE","Hardly interested","4","2","2","Yes","No","No","No","No","Yes","No","No","No","4","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"25200",7,"IE","Very interested","Refusal","9","Don't know","Yes","No","No","No","Don't know","No","No","No","No","7","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"25203",7,"IE","Hardly interested","5","4","4","Yes","No","No","No","No","No","No","No","No","4","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"25213",7,"IE","Quite interested","6","4","3","No","No","No","No","No","No","No","No","No","5","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"25217",7,"IE","Quite interested","3","4","3","Yes","No","No","No","No","No","No","No","Yes","3","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"25222",7,"IE","Not at all interested","1","1","1","Yes","No","No","No","No","No","No","No","No","2","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, previously"
"25226",7,"IE","Quite interested","9","9","6","Yes","No","No","No","No","No","No","No","No","5","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"25230",7,"IE","Not at all interested","5","5","5","No","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"25254",7,"IE","Refusal","6","5","7","Yes","Yes","No","No","No","No","No","No","No","5","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"25255",7,"IE","Quite interested","5","7","7","No","No","No","No","No","No","No","No","Don't know","4","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, currently"
"25257",7,"IE","Quite interested","7","8","8","Yes","No","No","No","No","No","No","No","Refusal","8","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"25259",7,"IE","Very interested","5","5","5","Yes","No","No","No","No","No","No","No","Yes","5","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"25270",7,"IE","Hardly interested","3","3","4","No","Yes","No","No","No","Yes","No","No","Yes","5","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Yes","No contract","No"
"25281",7,"IE","Quite interested","2","2","3","Not eligible to vote","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"25287",7,"IE","Hardly interested","5","5","5","No","No","No","No","No","No","No","No","Yes","2","Female","ES-ISCED I , less than lower secondary","Not marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"25292",7,"IE","Not at all interested","4","7","Don't know","Yes","No","No","No","No","No","No","No","Yes","6","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, previously"
"25303",7,"IE","Not at all interested","3","2","7","Yes","Yes","No","No","No","Yes","No","No","Yes","5","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Yes","No contract","No"
"25308",7,"IE","Not at all interested","No trust at all","No trust at all","6","No","No","No","No","No","No","No","No","No","4","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Yes","No contract","No"
"25310",7,"IE","Hardly interested","Don't know","Don't know","7","Not eligible to vote","No","No","No","No","No","No","No","No","6","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Yes","No contract","No"
